"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/08/2020 15:17:16.309","0","0","397.29358047776639751","0","0","100","100","100","100","206331904","126189568","319377408","27791360","19173376"
"05/08/2020 15:17:17.293","0","0","393.65067368106451795","0","0","100","100","100","100","206331904","126189568","320970752","27791360","19173376"
"05/08/2020 15:17:18.293","1.5624998437500157156","0","396.87496031250395845","0","0","100","100","100","100","206331904","126189568","322560000","27791360","19173376"
"05/08/2020 15:17:19.293","0","0","398.43710156289841962","0","0","100","100","100","100","206340096","126189568","324210688","27791360","19173376"
"05/08/2020 15:17:20.293","0","1.5624998437500157156","393.74996062500395055","0","0","100","100","100","100","206340096","126189568","325820416","27791360","19173376"
"05/08/2020 15:17:26.298","0.78062540860015550148","1.0408338781335406686","393.95562287354516684","0","0","100","100","100","100","206340096","126189568","336191488","27791360","19173376"
"05/08/2020 15:17:27.298","6.24999812500056251","0","334.37489968753010317","0","0","100","100","100","100","206319616","126189568","321593344","27791360","19173376"
"05/08/2020 15:17:28.298","0","0","395.3125","0","0","100","100","100","100","206319616","126189568","323612672","27791360","19173376"
"05/08/2020 15:17:29.298","0","0","393.74972437519295454","0","0","100","100","100","100","206319616","126189568","325533696","27791360","19173376"
"05/08/2020 15:17:30.298","1.5624996875000625174","1.5624996875000625174","390.62492187501561602","0","0","100","100","100","100","206319616","126189568","324440064","27791360","19173376"
"05/08/2020 15:17:31.308","1.5467065791205996117","3.0934131582411992234","391.31676451751167178","0","0","100","100","100","100","206319616","126189568","326270976","27791360","19173376"
"05/08/2020 15:17:32.293","0","0","390.47638881340384387","0","0","100","100","100","100","206319616","126189568","328011776","27791360","19173376"
"05/08/2020 15:17:38.318","0.25930055496624954126","0","397.50775076326050339","0","0","100","100","100","100","206241792","126189568","274128896","27791360","19173376"
"05/08/2020 15:17:39.303","1.5872998135570339784","0","396.82495338925843953","0","0","100","100","100","100","206241792","126189568","275656704","27791360","19173376"
"05/08/2020 15:17:40.303","0","1.5624989062507654847","395.31222328144372113","0","0","100","100","100","100","206241792","126189568","277381120","27791360","19173376"
"05/08/2020 15:17:41.308","0","1.5541807811148484753","402.53282230874577863","0","0","100","100","100","100","206241792","126189568","279031808","27791360","19173376"
"05/08/2020 15:17:42.297","0","3.1590137326623217717","383.82016851847208727","0","0","100","100","100","100","206110720","126189568","280862720","27791360","19173376"
"05/08/2020 15:17:43.297","4.6874934375091870109","0","389.06195531326255832","0","0","100","100","100","100","206213120","126189568","282398720","27791360","19173376"
"05/08/2020 15:17:44.313","1.5384615384615385469","0","392.30769230769226397","0","0","100","100","100","100","206213120","126189568","284037120","27791360","19173376"
"05/08/2020 15:17:46.240","0","1.6215051957955848305","391.59350478463375111","0","0","100","100","100","100","206213120","126189568","280051712","27791360","19173376"
"05/08/2020 15:17:46.318","0","0","199.99769602654177447","0","0","100","100","100","100","206213120","126189568","267399168","27791360","19173376"
"05/08/2020 15:17:47.964","2.8487007189968682752","8.5461021569906048256","3905.5686857447062721","0","0","100","100","100","100","206286848","126189568","318222336","27791360","19173376"
"05/08/2020 15:18:03.291","0","0","13.558152605483355657","0","0","100","100","100","100","206286848","126189568","319053824","27791360","19173376"
"05/08/2020 15:18:04.307","1.5384624473378150089","0","389.23099917646720769","0","0","100","100","100","100","206286848","126152704","320634880","27791360","19173376"
"05/08/2020 15:18:05.291","9.5238008163344911594","1.5873001360557488226","377.77743238126817005","0","0","100","100","100","100","209473536","126152704","324812800","27729920","19173376"
"05/08/2020 15:18:06.307","0","0","335.38534188086367749","0","0","100","100","100","100","209829888","126152704","310956032","27729920","19107840"
"05/08/2020 15:18:07.302","1.5710065290528625326","0","392.75163226321564025","0","0","100","100","100","100","209829888","126152704","313483264","27729920","19107840"
"05/08/2020 15:18:08.302","1.5624987500010001362","0","385.93719125024699679","0","0","100","100","100","100","209555456","126152704","315342848","27729920","19107840"
"05/08/2020 15:18:09.317","0","0","395.38410929295548613","0","0","100","100","100","100","209555456","126152704","317239296","27729920","19107840"
"05/08/2020 15:18:15.296","0.52265434819149048096","0","398.52394049601150527","0","0","100","100","100","100","209588224","126152704","327577600","26624000","19107840"
"05/08/2020 15:18:16.296","0","0","399.99992000001600445","0","0","100","100","100","100","209588224","126152704","329175040","26624000","19107840"
"05/08/2020 15:18:17.306","0","0","397.49930188605094372","0","0","100","100","100","100","209588224","126152704","330915840","26624000","19107840"
"05/08/2020 15:18:18.291","0","0","390.476111141361514","0","0","100","100","100","100","209588224","126152704","332443648","26624000","19107840"
"05/08/2020 15:18:19.291","0","4.6874990625001871081","393.7499212500157455","0","0","100","100","100","100","209588224","126152704","334159872","26624000","19107840"
"05/08/2020 15:18:20.291","6.2499975000010001835","1.5624993750002500459","390.62484375006249593","0","0","100","100","100","100","199610368","126152704","333766656","26624000","19107840"
"05/08/2020 15:18:21.291","1.5624979687526405758","1.5624979687526405758","392.18699015691277054","0","0","100","100","100","100","199610368","126152704","335585280","26624000","19107840"
